id,matchId,matchPeriod,minute,second,matchTimestamp,videoTimestamp,relatedEventId,shot,groundDuel,aerialDuel,infraction,carry,type.primary,type.secondary,location.x,location.y,team.id,team.name,team.formation,opponentTeam.id,opponentTeam.name,opponentTeam.formation,player.id,player.name,player.position,pass.accurate,pass.angle,pass.height,pass.length,pass.recipient,pass.endLocation,possession.id,possession.duration,possession.types,possession.eventsNumber,possession.eventIndex,possession.startLocation,possession.endLocation,possession.team,possession.attack,pass,carry.progression,carry.endLocation,groundDuel.opponent,groundDuel.duelType,groundDuel.keptPossession,groundDuel.progressedWithBall,groundDuel.stoppedProgress,groundDuel.recoveredPossession,groundDuel.takeOn,groundDuel.side,groundDuel.relatedDuelId,possession,infraction.yellowCard,infraction.redCard,infraction.type,infraction.opponent,aerialDuel.opponent,aerialDuel.firstTouch,aerialDuel.height,aerialDuel.relatedDuelId,shot.bodyPart,shot.isGoal,shot.onTarget,shot.goalZone,shot.xg,shot.postShotXg,shot.goalkeeperActionId,shot.goalkeeper,competition_id,season_id,location
2387591901,5664345,2H,59,41,00:59:41.800,3596.800966,2387592679.0,,,,,,pass,"['forward_pass', 'loss', 'progressive_pass', 'short_or_medium_pass']",13.0,6.0,7847,Los Angeles Galaxy,4-3-3,8067,Seattle Sounders,4-4-2,703,M. Yoshida,LCB,False,14.0,,4.0,"{'id': 506250, 'name': 'Á. Roldán', 'position': 'RB'}","{'x': 17, 'y': 8}",2387592655.0,89.9633965,"['attack', 'transition_low']",35.0,27.0,"{'x': 22, 'y': 42}","{'x': 89, 'y': 83}","{'id': 8067, 'name': 'Seattle Sounders', 'formation': '4-4-2'}","{'withShot': False, 'withShotOnGoal': False, 'withGoal': False, 'flank': 'right', 'xg': 0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,869,189518,
2387592679,5664345,2H,59,42,00:59:42.368,3597.368012,2387592680.0,,,,,,interception,"['recovery', 'counterpressing_recovery']",83.0,92.0,8067,Seattle Sounders,4-4-2,7847,Los Angeles Galaxy,4-3-3,506250,Á. Roldán,RB,,,,,,,2387592655.0,89.9633965,"['attack', 'transition_low']",35.0,28.0,"{'x': 22, 'y': 42}","{'x': 89, 'y': 83}","{'id': 8067, 'name': 'Seattle Sounders', 'formation': '4-4-2'}","{'withShot': False, 'withShotOnGoal': False, 'withGoal': False, 'flank': 'right', 'xg': 0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,869,189518,
2387592680,5664345,2H,59,45,00:59:45.851,3600.851111,2387592681.0,,,,,,interception,"['pass', 'short_or_medium_pass']",79.0,90.0,8067,Seattle Sounders,4-4-2,7847,Los Angeles Galaxy,4-3-3,506250,Á. Roldán,RB,True,-56.0,,7.0,"{'id': 584470, 'name': 'P. de la Vega', 'position': 'RW'}","{'x': 83, 'y': 81}",2387592655.0,89.9633965,"['attack', 'transition_low']",35.0,29.0,"{'x': 22, 'y': 42}","{'x': 89, 'y': 83}","{'id': 8067, 'name': 'Seattle Sounders', 'formation': '4-4-2'}","{'withShot': False, 'withShotOnGoal': False, 'withGoal': False, 'flank': 'right', 'xg': 0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,869,189518,
2387592681,5664345,2H,59,47,00:59:47.143,3602.143174,2387592682.0,,,,,,pass,"['back_pass', 'short_or_medium_pass']",83.0,81.0,8067,Seattle Sounders,4-4-2,7847,Los Angeles Galaxy,4-3-3,584470,P. de la Vega,RW,True,135.0,,13.0,"{'id': 506250, 'name': 'Á. Roldán', 'position': 'RB'}","{'x': 74, 'y': 94}",2387592655.0,89.9633965,"['attack', 'transition_low']",35.0,30.0,"{'x': 22, 'y': 42}","{'x': 89, 'y': 83}","{'id': 8067, 'name': 'Seattle Sounders', 'formation': '4-4-2'}","{'withShot': False, 'withShotOnGoal': False, 'withGoal': False, 'flank': 'right', 'xg': 0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,869,189518,
2387592682,5664345,2H,59,49,00:59:49.725,3604.72587,2387592683.0,,,,,,pass,['short_or_medium_pass'],74.0,94.0,8067,Seattle Sounders,4-4-2,7847,Los Angeles Galaxy,4-3-3,506250,Á. Roldán,RB,True,-104.0,,12.0,"{'id': 745889, 'name': 'O. Vargas', 'position': 'RCMF'}","{'x': 71, 'y': 77}",2387592655.0,89.9633965,"['attack', 'transition_low']",35.0,31.0,"{'x': 22, 'y': 42}","{'x': 89, 'y': 83}","{'id': 8067, 'name': 'Seattle Sounders', 'formation': '4-4-2'}","{'withShot': False, 'withShotOnGoal': False, 'withGoal': False, 'flank': 'right', 'xg': 0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,869,189518,
2387592683,5664345,2H,59,52,00:59:52.079,3607.079711,2387592684.0,,,,,,duel,"['ground_duel', 'offensive_duel', 'progressive_run', 'carry']",71.0,77.0,8067,Seattle Sounders,4-4-2,7847,Los Angeles Galaxy,4-3-3,745889,O. Vargas,RCMF,,,,,,,2387592655.0,89.9633965,"['attack', 'transition_low']",35.0,32.0,"{'x': 22, 'y': 42}","{'x': 89, 'y': 83}","{'id': 8067, 'name': 'Seattle Sounders', 'formation': '4-4-2'}","{'withShot': False, 'withShotOnGoal': False, 'withGoal': False, 'flank': 'right', 'xg': 0}",,10.32,"{'x': 89, 'y': 83}","{'id': 532467, 'name': 'Riqui Puig', 'position': 'LCMF3'}",offensive_duel,False,False,,,False,,2387591902.0,,,,,,,,,,,,,,,,,,869,189518,
2387591902,5664345,2H,59,52,00:59:52.570,3607.570057,2387591903.0,,,,,,duel,"['defensive_duel', 'ground_duel']",29.0,23.0,7847,Los Angeles Galaxy,4-3-3,8067,Seattle Sounders,4-4-2,532467,Riqui Puig,LCMF3,,,,,,,2387592655.0,89.9633965,"['attack', 'transition_low']",35.0,33.0,"{'x': 22, 'y': 42}","{'x': 89, 'y': 83}","{'id': 8067, 'name': 'Seattle Sounders', 'formation': '4-4-2'}","{'withShot': False, 'withShotOnGoal': False, 'withGoal': False, 'flank': 'right', 'xg': 0}",,,,"{'id': 745889, 'name': 'O. Vargas', 'position': 'RCMF'}",defensive_duel,,,True,False,False,,2387592683.0,,,,,,,,,,,,,,,,,,869,189518,
2387592684,5664345,2H,59,56,00:59:56.422,3611.42295,2387591904.0,,,,,,duel,"['dribble', 'ground_duel', 'loss', 'offensive_duel']",89.0,83.0,8067,Seattle Sounders,4-4-2,7847,Los Angeles Galaxy,4-3-3,745889,O. Vargas,RCMF,,,,,,,2387592655.0,89.9633965,"['attack', 'transition_low']",35.0,34.0,"{'x': 22, 'y': 42}","{'x': 89, 'y': 83}","{'id': 8067, 'name': 'Seattle Sounders', 'formation': '4-4-2'}","{'withShot': False, 'withShotOnGoal': False, 'withGoal': False, 'flank': 'right', 'xg': 0}",,,,"{'id': 534567, 'name': 'E. Cerrillo', 'position': 'DMF'}",dribble,False,False,,,False,left,2387591903.0,,,,,,,,,,,,,,,,,,869,189518,
2387591903,5664345,2H,59,57,00:59:57.517,3612.517289,2387591904.0,,,,,,duel,"['defensive_duel', 'ground_duel', 'recovery', 'carry']",11.0,17.0,7847,Los Angeles Galaxy,4-3-3,8067,Seattle Sounders,4-4-2,534567,E. Cerrillo,DMF,,,,,,,2387591903.0,5.3043385,[],6.0,0.0,"{'x': 11, 'y': 17}","{'x': 26, 'y': 23}","{'id': 7847, 'name': 'Los Angeles Galaxy', 'formation': '4-3-3'}",,,5.262,"{'x': 16, 'y': 18}","{'id': 745889, 'name': 'O. Vargas', 'position': 'RCMF'}",defensive_duel,,,True,True,False,right,2387592684.0,,,,,,,,,,,,,,,,,,869,189518,
2387591904,5664345,2H,59,58,00:59:58.797,3613.797443,2387591905.0,,,,,,pass,"['forward_pass', 'short_or_medium_pass']",16.0,18.0,7847,Los Angeles Galaxy,4-3-3,8067,Seattle Sounders,4-4-2,534567,E. Cerrillo,DMF,True,-10.0,,12.0,"{'id': 507276, 'name': 'J. Paintsil', 'position': 'LWF'}","{'x': 27, 'y': 15}",2387591903.0,5.3043385,[],6.0,1.0,"{'x': 11, 'y': 17}","{'x': 26, 'y': 23}","{'id': 7847, 'name': 'Los Angeles Galaxy', 'formation': '4-3-3'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,869,189518,
2387591905,5664345,2H,60,0,01:00:00.063,3615.063699,2387591906.0,,,,,,pass,['short_or_medium_pass'],27.0,15.0,7847,Los Angeles Galaxy,4-3-3,8067,Seattle Sounders,4-4-2,507276,J. Paintsil,LWF,True,108.0,,6.0,"{'id': 532467, 'name': 'Riqui Puig', 'position': 'LCMF3'}","{'x': 25, 'y': 23}",2387591903.0,5.3043385,[],6.0,2.0,"{'x': 11, 'y': 17}","{'x': 26, 'y': 23}","{'id': 7847, 'name': 'Los Angeles Galaxy', 'formation': '4-3-3'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,869,189518,
2387591906,5664345,2H,60,1,01:00:01.422,3616.422023,2387592686.0,,,,,,duel,"['foul_suffered', 'ground_duel', 'offensive_duel']",25.0,23.0,7847,Los Angeles Galaxy,4-3-3,8067,Seattle Sounders,4-4-2,532467,Riqui Puig,LCMF3,,,,,,,2387591903.0,5.3043385,[],6.0,3.0,"{'x': 11, 'y': 17}","{'x': 26, 'y': 23}","{'id': 7847, 'name': 'Los Angeles Galaxy', 'formation': '4-3-3'}",,,,,"{'id': 364046, 'name': 'C. Roldán', 'position': 'LCMF'}",offensive_duel,True,True,,,False,,2387592685.0,,,,,,,,,,,,,,,,,,869,189518,
2387592685,5664345,2H,60,1,01:00:01.682,3616.682335,2387592686.0,,,,,,duel,"['defensive_duel', 'ground_duel']",75.0,77.0,8067,Seattle Sounders,4-4-2,7847,Los Angeles Galaxy,4-3-3,364046,C. Roldán,LCMF,,,,,,,2387591903.0,5.3043385,[],6.0,4.0,"{'x': 11, 'y': 17}","{'x': 26, 'y': 23}","{'id': 7847, 'name': 'Los Angeles Galaxy', 'formation': '4-3-3'}",,,,,"{'id': 532467, 'name': 'Riqui Puig', 'position': 'LCMF3'}",defensive_duel,,,False,False,False,,2387591906.0,,,,,,,,,,,,,,,,,,869,189518,
